"grup","bioreactor","medi","agitacio","data","titol"
"G1","BR1","M1",100,"2025-05-01",7.61857306034336
"G1","BR1","M2",100,"2025-05-01",9.50946753155016
"G1","BR1","M3",100,"2025-05-01",15.1761249424474
"G1","BR1","M1",200,"2025-05-01",9.51152517427373
"G1","BR1","M2",200,"2025-05-01",10.5878632054828
"G1","BR1","M3",200,"2025-05-01",15.6451949606498
"G1","BR1","M1",300,"2025-05-01",10.6827486179676
"G1","BR1","M2",300,"2025-05-01",6.4048162961804
"G1","BR1","M3",300,"2025-05-01",8.43944144431942
"G1","BR1","M1",400,"2025-05-01",7.96301408970013
"G1","BR1","M2",400,"2025-05-01",13.8722453923184
"G1","BR1","M3",400,"2025-05-01",11.5794414811721
"G1","BR1","M1",100,"2025-05-04",10.5023143517822
"G1","BR1","M2",100,"2025-05-04",10.5320481478354
"G1","BR1","M3",100,"2025-05-04",8.83247659573778
"G1","BR1","M1",200,"2025-05-04",14.6607394104092
"G1","BR1","M2",200,"2025-05-04",11.6935514346877
"G1","BR1","M3",200,"2025-05-04",4.60014853011109
"G1","BR1","M1",300,"2025-05-04",11.4040677046911
"G1","BR1","M2",300,"2025-05-04",8.7816257768162
"G1","BR1","M3",300,"2025-05-04",7.29652888203946
"G1","BR1","M1",400,"2025-05-04",8.64607525602512
"G1","BR1","M2",400,"2025-05-04",7.12198665507828
"G1","BR1","M3",400,"2025-05-04",8.31332631212658
"G1","BR1","M1",100,"2025-05-05",7.42488219645223
"G1","BR1","M2",100,"2025-05-05",5.13992006777276
"G1","BR1","M3",100,"2025-05-05",13.0133611334836
"G1","BR1","M1",200,"2025-05-05",9.76011935350955
"G1","BR1","M2",200,"2025-05-05",6.78558918896416
"G1","BR1","M3",200,"2025-05-05",14.2614447632098
"G1","BR1","M1",300,"2025-05-05",10.5793926644304
"G1","BR1","M2",300,"2025-05-05",9.31478555102318
"G1","BR1","M3",300,"2025-05-05",13.1853769831351
"G1","BR1","M1",400,"2025-05-05",11.9344004625991
"G1","BR1","M2",400,"2025-05-05",12.6647432449125
"G1","BR1","M3",400,"2025-05-05",12.5659207623003
"G1","BR1","M1",100,"2025-05-08",10.9617529606128
"G1","BR1","M2",100,"2025-05-08",10.0142648682698
"G1","BR1","M3",100,"2025-05-08",9.58211200878025
"G1","BR1","M1",200,"2025-05-08",8.15858699696285
"G1","BR1","M2",200,"2025-05-08",8.11587906323846
"G1","BR1","M3",200,"2025-05-08",9.8762481659412
"G1","BR1","M1",300,"2025-05-08",5.50381094529521
"G1","BR1","M2",300,"2025-05-08",16.7068678960155
"G1","BR1","M3",300,"2025-05-08",14.123885994915
"G1","BR1","M1",400,"2025-05-08",5.93067425038995
"G1","BR1","M2",400,"2025-05-08",8.99134549410277
