"concentracio","activacio"
3.9,0.89
0.19,0.05
0.17,0.04
0.08,0.01
0.3,0.08
86.47,0.99
0.04,0.01
0.02,0.01
0.04,0.01
5.75,0.9
3,0.84
36.78,0.99
4.92,0.91
8.88,0.95
1.21,0.52
4.36,0.88
19.37,0.99
13.97,0.98
83.04,0.99
0.57,0.24
0.18,0.06
0.43,0.15
0.01,0.01
0.05,0.02
23.49,0.99
0.08,0.02
0.09,0.02
0.02,0.01
0.1,0.02
8.48,0.96
24.54,0.99
0.98,0.44
0.36,0.14
0.1,0.03
0.03,0.01
0.36,0.12
1.94,0.7
0.07,0.01
0.6,0.29
0.07,0.01
1.02,0.4
0.26,0.12
3.98,0.87
0.32,0.1
0.26,0.09
1.36,0.56
9.15,0.97
0.08,0.01
0.45,0.22
0.12,0.02
3.31,0.85
0.05,0.01
28.48,0.99
9.69,0.96
4.71,0.87
2.97,0.87
0.31,0.13
1.32,0.49
31.53,0.99
2.12,0.67
22.86,0.99
0.18,0.07
6.81,0.94
0.11,0.03
2.38,0.74
0.84,0.36
0.11,0.02
1.81,0.65
44.95,0.99
40.5,0.99
0.12,0.03
0.19,0.06
87.61,0.99
3.02,0.8
56.14,0.99
0.73,0.42
0.42,0.16
4.33,0.87
0.04,0.01
1.96,0.64
0.09,0.02
70.7,0.99
2.54,0.82
1.15,0.54
0.41,0.16
33.19,0.99
0.29,0.09
0.14,0.03
0.05,0.01
0.05,0.01
0.85,0.49
0.1,0.02
0.07,0.01
4.98,0.9
0.02,0.01
6.36,0.92
0.26,0.09
0.43,0.19
19.22,0.99
47.36,0.99
0.13,0.03
69.89,0.99
8.2,0.97
5.57,0.9
0.02,0.01
0.38,0.22
0.82,0.37
1.74,0.59
6.21,0.92
46,0.99
2.97,0.81
0.52,0.21
1.47,0.58
0.02,0.01
0.11,0.04
0.39,0.15
0.06,0.01
21.27,0.99
0.04,0.01
16.36,0.98
1.54,0.59
4.46,0.88
0.05,0.01
3.41,0.88
0.18,0.08
7.91,0.97
0.39,0.16
75.41,0.99
74.06,0.99
8.07,0.96
0.11,0.03
0.08,0.02
2.36,0.78
0.12,0.02
1.33,0.61
13.84,0.98
0.05,0.01
0.41,0.17
0.77,0.37
29.68,0.99
50.45,0.99
33.72,0.99
4.97,0.92
63.19,0.99
1.16,0.52
2.02,0.72
0.22,0.08
0.25,0.12
0.01,0.01
1.03,0.47
30.49,0.99
0.01,0.01
0.02,0.01
0.05,0.01
12.06,0.98
8.72,0.96
77.18,0.99
0.73,0.27
0.02,0.01
3.94,0.9
