"constr","expr_GFP"
"Control","nul"
"Control","feble"
"Control","nul"
"Control","moderat"
"Control","moderat"
"Control","nul"
"Control","feble"
"Control","moderat"
"Control","feble"
"Control","feble"
"Control","fort"
"Control","feble"
"Control","feble"
"Control","feble"
"Control","nul"
"Control","moderat"
"Control","nul"
"Control","nul"
"Control","nul"
"Control","fort"
"Control","moderat"
"Control","feble"
"Control","feble"
"Control","fort"
"Control","feble"
"Control","feble"
"Control","feble"
"Control","feble"
"Control","nul"
"Control","nul"
"Promotor_A","nul"
"Promotor_A","nul"
"Promotor_A","fort"
"Promotor_A","fort"
"Promotor_A","moderat"
"Promotor_A","feble"
"Promotor_A","fort"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","feble"
"Promotor_A","feble"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","feble"
"Promotor_A","moderat"
"Promotor_A","fort"
"Promotor_A","moderat"
"Promotor_A","feble"
"Promotor_A","fort"
"Promotor_A","moderat"
"Promotor_A","feble"
"Promotor_A","moderat"
"Promotor_A","moderat"
"Promotor_A","fort"
"Promotor_A","fort"
"Promotor_A","moderat"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","feble"
"Promotor_B","fort"
"Promotor_B","feble"
"Promotor_B","feble"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","moderat"
"Promotor_B","moderat"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","moderat"
"Promotor_B","fort"
"Promotor_B","fort"
"Promotor_B","nul"
"Promotor_B","feble"
"Promotor_B","feble"
"Promotor_B","fort"
